0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:35 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:37 +0700] "POST /HelloWorld3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:39 +0700] "POST /HelloWorld3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:39 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:40 +0700] "POST /HelloWorld3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:40 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:45:43 +0700] "POST /HelloWorld3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:46:39 +0700] "GET /translater.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:46:39 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:46:41 +0700] "POST /HelloWorld3 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:47:20 +0700] "GET /translater.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:47:20 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:47:23 +0700] "POST /HelloWorld3 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:59:28 +0700] "GET /translater.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:59:28 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:01:59:30 +0700] "POST /HelloWorld3 HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [30/Oct/2016:02:10:29 +0700] "POST /HelloWorld3 HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/Oct/2016:02:10:52 +0700] "POST /HelloWorld3 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Oct/2016:02:10:55 +0700] "POST /HelloWorld3 HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [30/Oct/2016:02:10:55 +0700] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Oct/2016:02:21:30 +0700] "GET /HelloWorld3? HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [30/Oct/2016:02:24:38 +0700] "GET /HelloWorld3? HTTP/1.1" 200 19
